bio,name,weight,color,age,breed,sex
"Hello!  I am a fun loving guy with high energy level. I would enjoy playing fetch. I can also relax and hang out in front of the TV with you.  If you think I might be the right match for you, come meet me soon! ",Pilgrim,65 lbs,"Black, Brown",4 years 4 months,Shepherd blend,Male-Neutered
"Hello!  I am a young and high spirited dog who loves to play with toys.  I am smart and fun loving and just need a great friend to teach me how to be the best dog ever!  If I sound like the right match for you, come see me soon!",Mittens,16.1 lbs,Brindle,5 months,German Shepherd-Labrador Retriever blend,Female-Spayed
"Hello!  I am as beautiful on the inside as I am on the outside. I am very sweet and affectionate.  I enjoy being pet and snuggled, and absolutely love to be held. I can sit in your arms forever.  So are you looking for love?  Won't you come meet me and give me a chance to win your heart?  See you soon!",Olof,9.63 lbs,"Black, white",3.5 months,Terrier blend,Female-Spayed
"Hello!  I am a fun loving dog with high energy level. I would enjoy playing fetch. I can also relax and hang out in front of the TV with you.  If you think I might be the right match for you, come meet me soon! ",Clara,50.1 lbs,"Sable, White",2 years 7.5 months,Labrador Retriever-Terrier blend,Female-Spayed
"Hello!  I am as beautiful on the inside as I am on the outside. I am very sweet and affectionate.  I enjoy being pet and snuggled, and absolutely love to be held. I can sit in your arms forever.  So are you looking for love?  Won't you come meet me and give me a chance to win your heart?  See you soon!",Frye,29.8 lbs,Cream,1 years,Brussels Griffon blend,Male-Neutered
"Hello!  I am a fun loving guy with high energy level. I would enjoy playing fetch. I can also relax and hang out in front of the TV with you.  If you think I might be the right match for you, come meet me soon! ",Avalanche,18 lbs,"Black, brindle",5 months,German Shepherd-Labrador Retriever blend,Female-Spayed
"Hello!  I am just a big sweetie pie who loves to be held.  Don't let my size fool you, I am very energetic! I am fun loving and willing to learn.  If I am the one for you, come see me soon!",Matty,8.53 lbs,White,1 years,Terrier blend,Male-Neutered
"Hello!  I am a young and high spirited dog who loves to play with toys.  I am smart and fun loving and just need a great friend to teach me how to be the best dog ever!  If I sound like the right match for you, come see me soon!",Odis,9.5 lbs,Black,3.5 months,Terrier blend,Female-Spayed
"Hello!  I am a young and high spirited puppy who loves to play with toys.  I am smart and fun loving and just need a great friend to teach me how to be the best dog ever!  If I sound like the right match for you, come see me soon!",Ferrari,3.44 lbs,Black,2.5 months,Terrier-Chihuahua blend,Male-Neutered
"Hello!  I am a young and high spirited dog who loves to play with toys.  I am smart and fun loving and just need a great friend to teach me how to be the best dog ever!  If I sound like the right match for you, come see me soon!",Spanky,5.63 lbs,Tan,3 months,Chihuahua blend,Male-Neutered
Are you looking for a new best friend? Then I may be the one for you! I am both adorable and smart! I would love an owner who will take me long walks and teach me some new tricks. I am looking for a forever home where I can become a member of a loving family. ,Peter Pan,6.81 lbs,"Black, tan",4 months,Chihuahua blend,Male-Neutered
"Hello!  I am just a big sweetie pie with a huge loving heart!  I am a lot of fun and just love to hangout with my favorite people.  I am happy lounging on the couch with you but I also enjoy a nice walk to check out the neighborhood.  If you are looking for a sweet dog like me, come give me a chance to win your heart!",BB,38 lbs,"Tan, White",5 years 6.5 months,Basset Hound blend,Female-Spayed
"Hello!  I am just a huge cuddle bug!  I love to snuggle and be tucked in at night.  There's nowhere else I'd rather be than by your side! If you are looking for a loving and affectionate companion, I might be the one for you!  Come see me soon!",Scotch,7.5 lbs,Cream,3 years,Chihuahua blend,Male-Neutered
Hello! I am a friendly dog with lots of energy! I am looking for experienced owner who can help me be the best dog I can be. I would be a great companion for someone who likes to go on long walks and has a backyard for me to run around in! Come visit me soon and you can be my forever home!,Polo,62.3 lbs,Black,5 years 7 months,Terrier-Labrador Retriever blend,Male-Neutered
